priority,brand_name,domain,city,locations_count,cuisine,phone,email,facebook,instagram,address,owner_or_manager,signature_confidence,notes
P2,Elevenses,elevenses.ro,Râșnov,1,cafe,+40 746 538 399,,facebook.com/Elevenses-Râşnov,instagram.com/elevenses_rasnov,"Strada Florilor 79, Râșnov",,HIGH,"Brașov-region — pilot-city alignment per distribution plan"
P2,Saladina,saladina.ro,Sibiu,1,salads/catering,+40 743 285 484 / +40 771 775 183,,facebook.com/saladinacatering,,"Strada Lungă 43, Sibiu 550107",,HIGH,"Catering business — recurring B2B revenue angle"
P2,EpiCentru Steak Pub,epicpub.ro,Suceava,1,steak pub,+40 747 887 887,office@epicpub.ro,facebook.com/EpicentruSteakPub,instagram.com/epicentrusteakpub,"Strada Republicii 10B, Suceava",,HIGH,"Phone + email enriched"
P2,TIT Food Delivery,titdelivery.ro,Sântana de Mureș,1,food delivery,+40 770 519 509,contact@titdelivery.ro / comenzi@titdelivery.ro,facebook.com/tit.food.delivery,instagram.com/tit.food.delivery,"Str. Stejarului 15C, com. Sântana de Mureș, jud. Mureș",,HIGH,"Delivery-first brand — strong fit with HIR dispatch"
P2,Pizzerie El Passo,elpasso.ro,Târgu Mureș,1,pizza,+40 744 897 340 / +40 770 970 146,,facebook.com/El-Passo-Pizzerie-1229408310409762,,"Strada 22 Decembrie 1989 nr. 28, Târgu Mureș",,HIGH,
P2,Pizza King,kingpizza.ro,Târgu Mureș,1,pizza,+40 745 80 66 61,king@kingpizza.ro,facebook.com/king.pizzerie.restaurant,,Târgu Mureș,,HIGH,"Phone + email; staging subdomain stg1.kingpizza.ro spotted in scan"
P2,Pizza cu Gust Tecuci,pizzacugust-tecuci.ro,Tecuci,1,pizza,+40 785 044 344 / +40 763 771 505,,,,Tecuci,,HIGH,"Sub-domain of Pizza cu Gust chain — close via Galați HQ"
P2,Pizza cu Gust Bârlad,pizzacugust-barlad.ro,Bârlad,1,pizza,+40 791 710 000,,,,Bârlad,,HIGH,"Sub-domain of Pizza cu Gust chain — close via Galați HQ"
P3,Supreme Burger,supremeburger.ro,Baia Mare,1,burger,+40 770 154 687,,facebook.com/supremeburgerbm,,Baia Mare,,HIGH,"'The House of Burgers'; single-location"
P3,Mandaloun,restaurant-mandaloun.ro,București,1,lebanese,,,facebook.com/RestaurantMandaloun,instagram.com/mandalounrestaurant,București,,HIGH,"FB/IG only; site redirects to mandaloun subdomain. Niche cuisine — only Lebanese in batch"
P3,Ro-Baker,robaker.ro,Constanța,1,bakery/restaurant,,,,,Constanța,,HIGH,"'Restaurant si patiserie'; no contact channel surfaced — needs manual enrichment"
P3,Restaurant Valentina,restaurantvalentina.ro,Motru,1,romanian,,,facebook.com/RestaurantValentinaMotru,instagram.com/restaurantvalentina6,Motru,,HIGH,"Only social channel; FB DM outreach"
P3,Calumea,calumeasuceava.ro,Suceava,1,restaurant,,,facebook.com/calumeasuceava,instagram.com/calumeasuceava,"Strada Ștefan cel Mare 26, Suceava",,HIGH,"FB/IG only — DM outreach"
P4,Cosmo Food,cosmobm.ro,Baia Mare,1,,,,,,,,MED,"ECONNREFUSED on enrichment; needs manual enrichment"
P4,Pizza cu Gust Buzău,pizzacugust-buzau.ro,Buzău,1,pizza,,,,,Buzău,,MED,"Sub-domain of Pizza cu Gust chain — call Galați HQ instead"
P4,Pizza cu Gust Focșani,pizzacugust-focsani.ro,Focșani,1,pizza,,,,,Focșani,,MED,"Sub-domain of Pizza cu Gust chain — call Galați HQ instead"
P4,Diamond Club,diamondclub.ro,unknown,,,,,,,,,MED,"ECONNREFUSED on enrichment; city unknown — needs manual enrichment"
P4,Hotel ABI,hotelabi.ro,unknown,,,,,,,,,MED,"ECONNREFUSED on enrichment; hotel restaurant — different ICP"
P4,Pizzeria Senna,pizzeriasenna.ro,unknown,,pizza,,,,,,,MED,"GloriaFood widget blocked; site appears non-functional"
P4,Coco Delivery,coco-delivery.ro,unknown,,,,,,,,,MED,"ECONNREFUSED on enrichment; needs manual enrichment"
P4,XP Burgers,xpburgers.ro,unknown,1,burger,,,,,,,LOW,"Stale demo with Berlin/De placeholder still on page; likely abandoned"
